Sl No,Officer,Division,Subdivision,Traffic Police Station,Phone,Mobile,Email
1,IGP & Additional Commissioner of Police (Traffic),Bengaluru City,,,"080 22862222, 080 22942276",,addlcptrafficbcp@gmail.com
2,Deputy Commissioner of Police (Traffic),East,,,"080 22942346 , 080 22860787",9480801801,dcptrafficeast@gmail.com
3,Assistant Commissioner of Police (Traffic),East,Central,,080 22942096,9480801807,
4,Police Inspector Traffic,East,Central,Cubbon Park Police Station,"080 22942675 , 080 22942912",9480801828,cparktrafficbcp@ksp.gov.in
5,Police Inspector Traffic,East,Central,Ulsoorgate Police Station,"080 22942660 , 080 22943124",9480801829,hgatetrafficbcp@ksp.gov.in
6,Police Inspector Traffic,East,Central,High Grounds Police Station,"080 22942916 , 080 22942671",9480801827,hgroundtrafficbcp@ksp.gov.in
7,Police Inspector Traffic,East,Central,Sadashivanagar Police Station,"080 22942915 , 080 22942804",9480801830,ssnagartrafficbcp@ksp.gov.in
8,Police Inspector Traffic,East,Central,Ashoknagar Police Station,"080 22943122 , 080 22943123",9480801823,anagartrafficbcp@ksp.gov.in
9,Police Inspector Traffic,East,Central,Wilson Garden Police Station,080 22943120,9480801826,wgardentrafficbcp@ksp.gov.in
10,Assistant Commissioner of Police (Traffic),East,East,,080 22942098,9480801806,
11,Police Inspector Traffic,East,East,Halasuru Police Station,"080 22942659 , 080 22942751",9480801815,halasoortrafficbcp@ksp.gov.in
12,Police Inspector Traffic,East,East,Indiranagara Police Station,"080 22942658 , 080 22942919",9480801816,inagartrafficbcp@ksp.gov.in
13,Police Inspector Traffic,East,East,K.R.Puram Police Station,"080 22942812 , 080 22942927",9480801818,krpuramtrafficbcp@ksp.gov.in
14,Police Inspector Traffic,East,East,Shivajinagar Police Station,"080 22942920 , 080 22942921",9480801821,shivajinagartrafficbcp@ksp.gov.in
15,Police Inspector Traffic,East,East,Pulikeshi Nagara Traffic Police Station,"080 22942925 , 080 22942924",9480801820,ftowntrafficbcp@ksp.gov.in
16,Police Inspector Traffic,East,East,Banasawadi Police Station,"080 22942217 , 080 22942280",9480801819,bwaditrafficbcp@ksp.gov.in
