Sl. No,Designation,Office Number,Residence Number,Mobile,CUG No
1,"Commissioner of Police, Bengaluru City","080 22260222 , 080 22942215",,9480801001,1201
2,"Addl.C.P, West","080 22200902 , 080 22942259","080 23413908 , 080 22943304",9480801002,
3,Addl.C.P. Traffic,"080 22862222 , 080 22942276",,9480801006,1205
4,"Addl.C.P, East","080 22200904 , 080 22942267",,9480801010,1206
5,Addl.C.P. Admin,"080 22268374 , 080 22943359",,9480801003,1202
6,Jt.C.P Crime,"080 22262875 , 080 22942372",,9480801011,1232
7,Jt.C.P INT,"080 22200924 , 080 22942254",,9480801004,1203
8,DCP Central (Law & Order),"080 22200907 , 080 22942344",080 22942746,9480801101,1301
9,DCP East (Law & Order),"080 25567085 , 080 22942312",,9480801201,1401
10,DCP West (Law & Order),"080 22370195 , 080 22942356",,9480801701,1901
11,DCP North (Law & Order),"080 23567714 , 080 22942299",,9480801301,1501
12,DCP South (Law & Order),"080 26635199 , 080 22942309","080 23153605 , 080 22943168",9480801501,1701
13,DCP South-East (Law & Order),"080 25530284 , 080 22943465",,9480801601,1801
14,DCP North-East (Law & Order),"080 23632002 , 080 22943676","080 23415272 , 080 22942347","9480801064 , 8105375999",1243
15,DCP Whitefield (Law & Order),,,9480801084,
16,DCP Traffic East (Traffic),"080 22860787 , 080 22942346",080 22943086,9480801801,2001
17,DCP Traffic West (Traffic),"080 23362771 , 080 22942318 , 22943034",,9480801901,2002
18,DCP Traffic North (Traffic),,,94808 01133,
19,DCP Admin,"080 22200918 , 080 22942358",,9480801015,1207
20,DCP Crime,"080 22200912 , 080 22942366",,9480801016,1208
21,DCP Command Centre,"080 22202593 , 080 22943177",,9480801092,4315
22,DCP Control Room,"080 22200914 , 080 22942338",,9480800905,1114
23,DCP Intelligence,"080 22200920 , 080 22942354",,9480801032,
24,DCP VVIP Sec,"080 22280020 , 080 22942941",080 22942304,9480801022,1214
25,DCP V.S.Security,"080 22353129 , 080 22033968 , 080 22943554",,9480801109,1250
26,DCP Crime – 2,"080 22259590 , 080 22942374",,94808 01021,1213
27,DCP CAR (HQ),"080 26701406 , 080 22942415",,9480801017,1209
28,DCP CAR (South),"080 25710856 , 080 22942370",080 23717952,9480801019,1211
29,DCP CAR (North),"080 28465406 , 080 22942368",080 22942110,9480801018,1210
