Sl No,Division,Subdivision,Traffic Police Station,Phone,Email
1,Central,Cubbonpark,Ashoknagar,080 22942076,anagarbcp@ksp.gov.in
2,Central,Cubbonpark,Cubbon Park,080 22942087,cparkbcp@ksp.gov.in
3,Central,Cubbonpark,Vidhana Soudha,080 22942086,vsoudhabcp@ksp.gov.in
4,Central,Cubbonpark,Viveknagar,080 22942080,vknagarbcp@ksp.gov.in
5,Central,Halasoor Gate,Halasoor Gate,080 22942075,hgatebcp@ksp.gov.in
6,Central,Halasoor Gate,S .R. Nagar,080 22942078,srnagarbcp@ksp.gov.in
7,Central,Halasoor Gate,Wilson Garden,080 22942581,piwgarden@ksp.gov.in
8,Central,Halasoor Gate,S.J. Park,080 22942079,sjparkbcp@ksp.gov.in
9,Central,Sheshadripuram,Sadashivanagar,080 22942085,ssnagarbcp@ksp.gov.in
10,Central,Sheshadripuram,Sheshadripuram,080 22942586,sspurambcp@ksp.gov.in
11,Central,Sheshadripuram,High Ground,080 22942083,hgroundbcp@ksp.gov.in
12,Central,Sheshadripuram,Vyalikaval,080 22942084,vkavalbcp@ksp.gov.in
13,East,Banasawadi,Banasawadi,080 22942552,bwadibcp@ksp.gov.in
14,East,Pulakeshinagar,Bharathinagar,080 22942547,bnagarbcp@ksp.gov.in
15,East,Halasoor,Byappanahalli,080 22942545,bpnhallibcp@ksp.gov.in
16,East,Pulakeshinagar,Commercial Street,080 22942549,commercialbcp@ksp.gov.in
17,East,Banasawadi,D.J Halli,080 22942550,djhallibcp@ksp.gov.in
18,East,Halasoor,Halasoor,080 22942540,halasoorbcp@ksp.gov.in
19,East,Banasawadi,Hennur,080 22942557,hennurbcp@ksp.gov.in
20,East,Halasoor,Indiranagar,080 22942541,inagarbcp@ksp.gov.in
21,East,Halasoor,J .B. Nagar,080 22942543,jbnagarbcp@ksp.gov.in
22,East,Banasawadi,K.G. Halli,080 22942556,kghallibcp@ksp.gov.in
23,East,Pulakeshinagar,Pulakeshinagar,080 22942548,ftownbcp@ksp.gov.in
24,East,Banasawadi,Rama Murthy Nagar,080 22942554,rmnagarbcp@ksp.gov.in
25,East,Pulakeshinagar,Shivaji Nagar,080 22942597,snagarbcp@ksp.gov.in
26,East,Pulakeshinagar,Women PS,080 22942081,hgatewbcp@ksp.gov.in
27,North,Yeshwanthapura,Bagalgunte,080 22942258,
28,North,Yeshwanthapura,Gangammanagudi,080 22942530,gggudibcp@ksp.gov.in
29,North,J.C. Nagar,Hebbal,080 22942535,hebbalbcp@ksp.gov.in
30,North,J.C. Nagar,J.C. Nagar,080 22942534,jcnagarbcp@ksp.gov.in
31,North,Yeshwanthapura,Jalahalli,080 22942527,jhallibcp@ksp.gov.in
32,North,Malleshwarm,Mahalaxmi Layout,080 22942523,mlayoutbcp@ksp.gov.in
33,North,Malleshwarm,Malleshwarm,080 22942519,mvmbcp@ksp.gov.in
34,North,Malleshwarm,Nandini Layout,080 22942539,nlayoutbcp@ksp.gov.in
35,North,Yeshwanthapura,Peenya,080 22942532,peenyabcp@ksp.gov.in
36,North,Yeshwanthapura,R.M.C. Yard,080 22942531,rmcyardbcp@ksp.gov.in
37,North,J.C. Nagar,R.T. Nagar,080 22942538,rtnagarbcp@ksp.gov.in
38,North,Malleshwarm,Rajajinagar,080 22942522,rnagarbcp@ksp.gov.in
39,North,Malleshwarm,Rajgopal Nagar,080 22942525,rgnagarbcp@ksp.gov.in
40,North,J.C. Nagar,Sanjaynagar,080 22942533,sanjaynagarbcp@ksp.gov.in
41,North,Yeshwanthapura,Soladevanahalli,080 22942529,sdhallibcp@ksp.gov.in
42,North,Malleshwarm,Srirampuram,080 22942520,srpurambcp@ksp.gov.in
43,North,Malleshwarm,Subramanyanagar,080 22942524,sbnagarbcp@ksp.gov.in
44,North,Yeshwanthapura,Yeshwanthapura,080 22942526,yspurabcp@ksp.gov.in
45,North East,Sampigehalli,Amrutha Halli,080 22943644,amruthahallipsbcp@ksp.gov.in
46,North East,Sampigehalli,Bhagalur,080 28463100,bhagalurpsbcp@ksp.gov.in
47,North East,Devanahalli,Chikkajala,080 28467200,chikkajalabng@ksp.gov.in
48,North East,Devanahalli,Devanahalli,080 27680333,devanahallipsbcp@ksp.gov.in
49,North East,Devanahalli,Kempegowda International Airport,080 22001102,biapsbcp@ksp.gov.in
50,North East,Yalahanka,Kodigehalli,080 22943703,kodigehallibcp@ksp.gov.in
51,North East,Sampigehalli,Kothanuru,080 22943694,kottanurbcp@ksp.gov.in
52,North East,Sampigehalli,Sampigehalli,080 22943692,sampigehallipsbcp@ksp.gov.in
53,North East,Yalahanka,Vidyaranyapura,080 22942528,vrpurabcp@ksp.gov.in
54,North East,Yalahanka,Yalahanka PS,080 22942536,ylankabcp@ksp.gov.in
55,North East,Yalahanka,Yelahanka New Town,080 22942537,ylkntbcp@ksp.gov.in
56,South,Jayanagar,Banashankari,080 22942564,bskbcp@ksp.gov.in
57,South,Jayanagar,Basavanagudi,080 22942561,bgudibcp@ksp.gov.in
58,South,Jayanagar,Basavanagudi women PS,080 22943250,bgudiwbcp@ksp.gov.in
59,South,V.V.Puram,C.K.Achchukattu,080 22942380,ckachukattubcp@ksp.gov.in
60,South,V.V.Puram,Girinagar,080 22942577,gnagarbcp@ksp.gov.in
61,South,V.V.Puram,Hanumanthanagar,080 22942576,hnagarbcp@ksp.gov.in
62,South,Jayanagar,J.P. Nagar,080 22942563,jpnagarbcp@ksp.gov.in
63,South,Jayanagar,Jayanagar,080 22942562,jnagarbcp@ksp.gov.in
64,South,V.V.Puram,K .G. Nagar,080 22942578,kgnagarbcp@ksp.gov.in
65,South,Subramanyapura,Konanakunte,080 22942560,
66,South,Subramanyapura,Kumarswamy layout,080 22942567,kslayoutbcp@ksp.gov.in
67,South,Subramanyapura,PuttenaHalli,080 22942566,
68,South,V.V.Puram,Shankarapurm,080 22942528,skpurabcp@ksp.gov.in
69,South,Jayanagar,Siddapura,080 22942572,spurabcp@ksp.gov.in
70,South,Subramanyapura,Subramanyapura,080 22942565,sbpurabcp@ksp.gov.in
71,South,Subramanyapura,TalaghattaPura,080 22942359,
72,South,V.V.Puram,V.V.Puram,080 22942574,
73,South East,Madivala,Adugodi,080 22942573,adugodibcp@ksp.gov.in
74,South East,Electronic City,Bande Palya,080 22942236,
75,South East,Electronic City,Beguru,080 22942551,
76,South East,Mico Layout,BommanaHalli,080 22942269,
77,South East,Electronic City,Electronic City,080 22943469,electroniccitybcp@ksp.gov.in
78,South East,Madivala,H.S.R. Layout,080 22943474,hsrlayoutbcp@ksp.gov.in
79,South East,Electronic City,Hulimavu,080 22943470,
80,South East,Madivala,Koramangala,080 22943470,kmangalabcp@ksp.gov.in
81,South East,Madivala,Madivala,080 22942568,madivalabcp@ksp.gov.in
82,South East,Mico Layout,Mico Layout,080 22942569,micobcp@ksp.gov.in
83,South East,Electronic City,Parappana Agrahara,080 22943468,pagraharabcp@ksp.gov.in
84,South East,Mico Layout,Suddaguntepalya,080 22942762,
85,South East,Mico Layout,Thilaknagar,080 22942571,tlknagarbcp@ksp.gov.in
86,West,Kengeri Gate,Annapoorneshwari Nagar,080 23482644,
87,West,Vijayanagar,Basaveshwara Nagar,080 22942516,bwnagarbcp@ksp.gov.in
88,West,Kengeri Gate,ByatarayanaPura,080 22942507,bypurabcp@ksp.gov.in
89,West,Chickpet,Chamarajapet,080 22942575,cmpetbcp@ksp.gov.in
90,West,Kengeri Gate,Chandra Layout,080 22942512,clayoutbcp@ksp.gov.in
91,West,Chickpet,City Market,080 22942502,marketbcp@ksp.gov.in
92,West,Chickpet,CottenPet,080 22942508,cotpetbcp@ksp.gov.in
